Last Update: 2024-10-04 22:10 UTC
            Object         |    Diameter    |             VI Max                                   |          VIs                  |
 Num/des.       Name       |   m  |   *=Y   |      Date/Time   |  IP max  | PS max |TS  | Vel km/s | Years     | IP cum   | PS cum |
AAAAAAAAA AAAAAAAAAAAAAAAA | NNNN |    A    | YYYY-MM-DD HH:MM | EEEEEEEE | NNN.NN | NN |  NNN.NN  | YYYY-YYYY | EEEEEEEE | NNN.NN |
2023VD3                    |   14 |    *    | 2034-11-08 17:09 |  2.58E-3 |  -2.65 |  0 |   21.01  | 2034-2098 |  2.58E-3 |  -2.65 |
1979XB                     |  500 |    *    | 2056-12-12 21:38 |  2.34E-7 |  -2.84 |  0 |   27.54  | 2056-2113 |  7.34E-7 |  -2.72 |
2008JL3                    |   30 |    *    | 2027-05-01 09:05 |  1.49E-4 |  -2.92 |  0 |   14.01  | 2027-2122 |  1.61E-4 |  -2.92 |
2000SG344                  |   40 |    *    | 2071-09-16 00:54 |  8.95E-4 |  -3.19 |  0 |   11.27  | 2069-2122 |  2.82E-3 |  -2.78 |
2005QK76                   |   30 |    *    | 2030-02-26 08:15 |  3.01E-5 |  -3.48 |  0 |   22.66  | 2030-2108 |  6.42E-5 |  -3.34 |
2023DO                     |   28 |    *    | 2057-03-23 19:43 |  4.89E-4 |  -3.52 |  0 |   13.18  | 2057-2073 |  5.00E-4 |  -3.51 |
2021GX9                    |   30 |    *    | 2032-04-16 21:51 |  5.03E-5 |  -3.56 |  0 |   20.17  | 2032-2032 |  5.03E-5 |  -3.56 |
2007KE4                    |   30 |    *    | 2029-05-26 00:18 |  4.27E-5 |  -3.57 |  0 |   15.03  | 2026-2115 |  4.37E-5 |  -3.57 |
2024TN1                    |  500 |    *    | 2097-10-29 02:48 |  1.86E-7 |  -3.58 |  0 |   24.64  | 2097-2097 |  1.86E-7 |  -3.58 |
2019VB37                   |   50 |    *    | 2049-04-26 01:30 |  5.62E-5 |  -3.67 |  0 |   18.34  | 2041-2088 |  5.71E-5 |  -3.67 |
2016YM4                    |  120 |    *    | 2121-07-20 19:20 |  1.38E-5 |  -3.68 |  0 |   22.03  | 2121-2121 |  1.38E-5 |  -3.68 |
2011DU9                    |   16 |    *    | 2046-02-23 20:44 |  6.82E-4 |  -3.72 |  0 |   14.21  | 2046-2101 |  6.87E-4 |  -3.72 |
2012QD8                    |   90 |    *    | 2047-03-08 23:22 |  5.88E-6 |  -3.73 |  0 |   23.58  | 2047-2120 |  6.05E-6 |  -3.72 |
2018JD                     |   17 |    *    | 2067-05-08 13:21 |  1.27E-3 |  -3.77 |  0 |   13.76  | 2067-2067 |  1.77E-3 |  -3.63 |
2020VV                     |   13 |    *    | 2050-10-11 10:13 |  2.01E-3 |  -3.78 |  0 |   11.47  | 2044-2121 |  5.18E-3 |  -3.45 |
2017AE21                   |   40 |    *    | 2025-05-10 04:56 |  7.11E-6 |  -3.81 |  0 |   12.17  | 2024-2119 |  9.27E-6 |  -3.56 |
2022YO1                    |    4 |    *    | 2024-12-17 06:20 |  4.13E-4 |  -3.90 |  0 |   18.25  | 2024-2024 |  4.13E-4 |  -3.90 |
2024JW16                   |  230 |    *    | 2116-12-09 08:38 |  9.24E-7 |  -3.92 |  0 |   26.50  | 2050-2121 |  2.26E-6 |  -3.53 |
2022UY14                   |   30 |    *    | 2043-04-28 22:24 |  3.06E-5 |  -3.93 |  0 |   23.23  | 2043-2043 |  3.06E-5 |  -3.93 |
2014CR13                   |   25 |    *    | 2108-02-11 19:52 |  3.64E-4 |  -4.00 |  0 |   16.61  | 2102-2118 |  3.77E-4 |  -3.99 |
2021EU                     |   30 |    *    | 2056-08-29 02:46 |  4.36E-5 |  -4.03 |  0 |   23.98  | 2056-2123 |  5.05E-5 |  -3.98 |
2008FF5                    |   80 |    *    | 2060-03-27 18:06 |  1.93E-6 |  -4.03 |  0 |   41.02  | 2060-2064 |  1.93E-6 |  -4.03 |
2024PQ4                    |   70 |    *    | 2097-08-26 21:36 |  1.45E-5 |  -4.04 |  0 |   22.14  | 2097-2111 |  1.55E-5 |  -4.01 |
2006JY26                   |    7 |    *    | 2074-05-03 00:47 |  6.33E-3 |  -4.05 |  0 |   11.57  | 2073-2120 |  6.84E-3 |  -4.02 |
2020VW                     |    7 |    *    | 2074-11-02 20:49 |  3.99E-3 |  -4.06 |  0 |   14.80  | 2074-2093 |  7.80E-3 |  -3.77 |
2017WT28                   |    9 |    *    | 2104-11-24 16:31 |  6.80E-3 |  -4.08 |  0 |   12.04  | 2083-2121 |  7.03E-3 |  -4.07 |
2022NX1                    |    9 |    *    | 2075-12-04 18:11 |  4.22E-3 |  -4.11 |  0 |   11.18  | 2075-2122 |  4.22E-3 |  -4.11 |
2007DX40                   |   40 |    *    | 2056-08-18 05:16 |  2.66E-5 |  -4.11 |  0 |   19.11  | 2030-2119 |  6.86E-5 |  -3.72 |
2014GN1                    |   40 |    *    | 2061-09-16 20:13 |  2.03E-5 |  -4.11 |  0 |   23.99  | 2061-2061 |  2.03E-5 |  -4.11 |
2013VW13                   |   20 |    *    | 2080-11-08 16:20 |  2.32E-4 |  -4.15 |  0 |   19.81  | 2076-2097 |  3.70E-4 |  -3.95 |
2007VE8                    |   28 |    *    | 2062-11-06 02:54 |  1.10E-4 |  -4.15 |  0 |   14.39  | 2062-2062 |  1.10E-4 |  -4.15 |
2008UB7                    |   60 |    *    | 2060-10-31 18:27 |  9.20E-6 |  -4.16 |  0 |   21.57  | 2051-2106 |  4.60E-5 |  -3.52 |
2021GE2                    |    6 |    *    | 2030-04-03 11:57 |  6.74E-4 |  -4.17 |  0 |   18.99  | 2030-2030 |  6.74E-4 |  -4.17 |
2013TP4                    |   13 |    *    | 2026-10-01 07:48 |  2.21E-5 |  -4.19 |  0 |   27.66  | 2026-2026 |  2.21E-5 |  -4.19 |
2008EX5                    |   60 |    *    | 2083-10-09 17:02 |  2.32E-5 |  -4.20 |  0 |   14.94  | 2056-2090 |  3.09E-5 |  -4.05 |
2020KD3                    |   19 |    *    | 2083-05-26 21:12 |  4.75E-4 |  -4.23 |  0 |   13.71  | 2083-2105 |  4.83E-4 |  -4.22 |
2018TY4                    |    9 |    *    | 2033-10-05 16:21 |  4.32E-4 |  -4.23 |  0 |   15.45  | 2033-2033 |  4.32E-4 |  -4.23 |
2024RF10                   |   11 |    *    | 2092-09-07 12:39 |  1.59E-3 |  -4.24 |  0 |   14.21  | 2085-2120 |  1.76E-3 |  -4.20 |
2020CQ1                    |    6 |    *    | 2070-02-03 04:33 |  4.46E-3 |  -4.26 |  0 |   12.20  | 2070-2119 |  4.51E-3 |  -4.26 |
2022SX55                   |    3 |    *    | 2035-09-17 19:56 |  4.22E-3 |  -4.27 |  0 |   16.44  | 2035-2045 |  4.24E-3 |  -4.27 |
2006DM63                   |   15 |    *    | 2031-02-24 05:54 |  5.78E-5 |  -4.29 |  0 |   15.25  | 2031-2116 |  1.40E-4 |  -4.03 |
2020OB                     |   70 |    *    | 2116-07-23 09:37 |  9.56E-6 |  -4.30 |  0 |   27.79  | 2114-2121 |  1.88E-5 |  -4.00 |
2022AT2                    |   15 |    *    | 2080-01-14 08:33 |  7.22E-4 |  -4.30 |  0 |   12.90  | 2080-2080 |  7.22E-4 |  -4.30 |
2015YJ                     |    8 |    *    | 2059-12-14 08:15 |  9.71E-4 |  -4.31 |  0 |   19.80  | 2042-2122 |  1.59E-3 |  -4.08 |
2009BE                     |   21 |    *    | 2083-01-25 02:21 |  1.89E-4 |  -4.34 |  0 |   16.01  | 2045-2122 |  3.80E-4 |  -4.04 |
2022YS6                    |   16 |    *    | 2066-01-03 06:26 |  3.04E-4 |  -4.35 |  0 |   15.03  | 2065-2075 |  3.09E-4 |  -4.34 |
2023AC2                    |   40 |    *    | 2051-12-31 02:32 |  1.86E-5 |  -4.37 |  0 |   15.01  | 2035-2109 |  2.02E-5 |  -4.30 |
2010UK                     |   15 |    *    | 2068-10-15 10:39 |  4.22E-4 |  -4.39 |  0 |   12.73  | 2068-2121 |  4.48E-4 |  -4.37 |
2024FS5                    |   40 |    *    | 2026-08-25 04:46 |  6.92E-7 |  -4.41 |  0 |   26.73  | 2026-2026 |  6.92E-7 |  -4.41 |
2020MJ                     |   30 |    *    | 2102-06-12 10:45 |  5.74E-5 |  -4.43 |  0 |   20.39  | 2091-2107 |  8.61E-5 |  -4.25 |
2021AM6                    |   18 |    *    | 2070-01-05 02:26 |  3.10E-4 |  -4.43 |  0 |   12.34  | 2064-2120 |  6.55E-4 |  -4.10 |
2018DQ                     |    6 |    *    | 2027-02-21 16:52 |  1.23E-4 |  -4.44 |  0 |   23.67  | 2027-2121 |  1.92E-4 |  -4.41 |
2016WG                     |   80 |    *    | 2076-06-23 07:10 |  2.64E-6 |  -4.45 |  0 |   26.11  | 2076-2102 |  6.17E-6 |  -4.09 |
2014ML67                   |   50 |    *    | 2027-07-03 19:46 |  5.03E-7 |  -4.46 |  0 |   24.13  | 2027-2027 |  5.03E-7 |  -4.46 |
