"No.","Object designation","Diameter
in m","Impact date/time in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"1","2023VD3","11 - 24*","2034-11-08 17:09","1/387","-2.65","0","2034-2098","1/387","-2.65","21.01","332"
"2","1979XB","400 - 900*","2056-12-12 21:38","1/4.27E6","-2.84","0","2056-2113","1/1.36E6","-2.72","27.54","5835"
"3","2008JL3","23 - 50*","2027-05-01 09:05","1/6711","-2.92","0","2027-2122","1/6211","-2.92","14.01","5835"
"4","2000SG344","27 - 60*","2071-09-16 00:54","1/1117","-3.19","0","2069-2122","1/354","-2.78","11.27","5835"
"5","2005QK76","24 - 50*","2030-02-26 08:15","1/33222","-3.48","0","2030-2108","1/15576","-3.34","22.66","5835"
"6","2023DO","21 - 50*","2057-03-23 19:43","1/2044","-3.52","0","2057-2073","1/2000","-3.51","13.18","588"
"7","2021GX9","23 - 50*","2032-04-16 21:51","1/19880","-3.56","0","2032","1/19880","-3.56","20.17","1269"
"8","2007KE4","24 - 50*","2029-05-26 00:18","1/23419","-3.57","0","2026-2115","1/22883","-3.57","15.03","5835"
"9","2024TN1","400 - 900*","2097-10-29 02:48","1/5.38E6","-3.58","0","2097","1/5.38E6","-3.58","24.64","1"
"10","2019VB37","30 - 80*","2049-04-26 01:30","1/17793","-3.67","0","2041-2088","1/17513","-3.67","18.34","728"
"11","2016YM4","90 - 200*","2121-07-20 19:20","1/72463","-3.68","0","2121","1/72463","-3.68","22.03","2838"
"12","2011DU9","12 - 27*","2046-02-23 20:44","1/1466","-3.72","0","2046-2101","1/1455","-3.72","14.21","4917"
"13","2012QD8","60 - 140*","2047-03-08 23:22","1/170068","-3.73","0","2047-2120","1/165289","-3.72","23.58","4429"
"14","2018JD","13 - 29*","2067-05-08 13:21","1/787","-3.77","0","2067","1/564","-3.63","13.76","2344"
"15","2020VV","10 - 22*","2050-10-11 10:13","1/497","-3.78","0","2044-2121","1/193","-3.45","11.47","1429"
"16","2017AE21","30 - 70*","2025-05-10 04:56","1/140646","-3.81","0","2024-2119","1/107874","-3.56","12.17","2810"
"17","2022YO1","2.8 - 6*","2024-12-17 06:20","1/2421","-3.90","0","2024","1/2421","-3.90","18.25","656"
"18","2024JW16","170 - 400*","2116-12-09 08:38","1/1.08E6","-3.92","0","2050-2121","1/442477","-3.53","26.50","145"
"19","2022UY14","26 - 60*","2043-04-28 22:24","1/32679","-3.93","0","2043","1/32679","-3.93","23.23","706"
"20","2014CR13","19 - 40*","2108-02-11 19:52","1/2747","-4.00","0","2102-2118","1/2652","-3.99","16.61","3888"
"21","2021EU","22 - 50*","2056-08-29 02:46","1/22935","-4.03","0","2056-2123","1/19801","-3.98","23.98","1309"
"22","2008FF5","60 - 140*","2060-03-27 18:06","1/518134","-4.03","0","2060-2064","1/518134","-4.03","41.02","5835"
"23","2024PQ4","50 - 120*","2097-08-26 21:36","1/68965","-4.04","0","2097-2111","1/64516","-4.01","22.14","52"
"24","2006JY26","6 - 12*","2074-05-03 00:47","1/157","-4.05","0","2073-2120","1/146","-4.02","11.57","5835"
"25","2020VW","6 - 13*","2074-11-02 20:49","1/250","-4.06","0","2074-2093","1/128","-3.77","14.80","1429"
"26","2017WT28","7 - 15*","2104-11-24 16:31","1/147","-4.08","0","2083-2121","1/142","-4.07","12.04","2493"
"27","2022NX1","7 - 15*","2075-12-04 18:11","1/236","-4.11","0","2075-2122","1/236","-4.11","11.18","811"
"28","2007DX40","30 - 70*","2056-08-18 05:16","1/37593","-4.11","0","2030-2119","1/14577","-3.72","19.11","5835"
"29","2014GN1","30 - 70*","2061-09-16 20:13","1/49261","-4.11","0","2061","1/49261","-4.11","23.99","3837"
"30","2013VW13","15 - 30*","2080-11-08 16:20","1/4310","-4.15","0","2076-2097","1/2702","-3.95","19.81","3979"
"31","2007VE8","21 - 50*","2062-11-06 02:54","1/9090","-4.15","0","2062","1/9090","-4.15","14.39","5835"
"32","2008UB7","40 - 100*","2060-10-31 18:27","1/108695","-4.16","0","2051-2106","1/21739","-3.52","21.57","5821"
"33","2021GE2","4 - 9*","2030-04-03 11:57","1/1483","-4.17","0","2030","1/1483","-4.17","18.99","1278"
"34","2013TP4","9 - 21*","2026-10-01 07:48","1/45248","-4.19","0","2026","1/45248","-4.19","27.66","4018"
"35","2008EX5","50 - 100*","2083-10-09 17:02","1/43103","-4.20","0","2056-2090","1/32362","-4.05","14.94","5835"
"36","2020KD3","14 - 30*","2083-05-26 21:12","1/2105","-4.23","0","2083-2105","1/2070","-4.22","13.71","1597"
"37","2018TY4","6 - 15*","2033-10-05 16:21","1/2314","-4.23","0","2033","1/2314","-4.23","15.45","2184"
"38","2024RF10","8 - 18*","2092-09-07 12:39","1/628","-4.24","0","2085-2120","1/568","-4.20","14.21","26"
"39","2020CQ1","5 - 11*","2070-02-03 04:33","1/224","-4.26","0","2070-2119","1/221","-4.26","12.20","1703"
"40","2022SX55","2.4 - 5*","2035-09-17 19:56","1/236","-4.27","0","2035-2045","1/235","-4.27","16.44","732"
"41","2006DM63","12 - 26*","2031-02-24 05:54","1/17301","-4.29","0","2031-2116","1/7142","-4.03","15.25","5835"
"42","2020OB","50 - 110*","2116-07-23 09:37","1/104602","-4.30","0","2114-2121","1/53191","-4.00","27.79","1540"
"43","2022AT2","11 - 25*","2080-01-14 08:33","1/1385","-4.30","0","2080","1/1385","-4.30","12.90","1001"
"44","2015YJ","6 - 13*","2059-12-14 08:15","1/1029","-4.31","0","2042-2122","1/628","-4.08","19.80","3213"
"45","2009BE","16 - 30*","2083-01-25 02:21","1/5291","-4.34","0","2045-2122","1/2631","-4.04","16.01","5739"
"46","2022YS6","12 - 26*","2066-01-03 06:26","1/3289","-4.35","0","2065-2075","1/3236","-4.34","15.03","645"
"47","2023AC2","30 - 70*","2051-12-31 02:32","1/53763","-4.37","0","2035-2109","1/49504","-4.30","15.01","626"
"48","2010UK","11 - 25*","2068-10-15 10:39","1/2369","-4.39","0","2068-2121","1/2232","-4.37","12.73","5100"
"49","2024FS5","30 - 70*","2026-08-25 04:46","1/1.45E6","-4.41","0","2026","1/1.45E6","-4.41","26.73","182"
"50","2020MJ","24 - 50*","2102-06-12 10:45","1/17421","-4.43","0","2091-2107","1/11614","-4.25","20.39","1569"
"51","2021AM6","14 - 30*","2070-01-05 02:26","1/3225","-4.43","0","2064-2120","1/1526","-4.10","12.34","1359"
"52","2018DQ","4 - 9*","2027-02-21 16:52","1/8130","-4.44","0","2027-2121","1/5208","-4.41","23.67","2415"
"53","2016WG","60 - 130*","2076-06-23 07:10","1/378787","-4.45","0","2076-2102","1/162074","-4.09","26.11","2875"
"54","2014ML67","40 - 90*","2027-07-03 19:46","1/1.99E6","-4.46","0","2027","1/1.99E6","-4.46","24.13","3732"
"55","2007FT3","260 - 600*","2046-10-03 12:14","1/2.40E7","-4.48","0","2046-2118","1/9.35E6","-4.29","20.19","5835"
"56","2012MF7","11 - 25*","2046-06-21 21:10","1/7299","-4.49","0","2046-2096","1/6134","-4.44","14.16","4484"
"57","2017YM1","26 - 60*","2091-12-16 12:46","1/18518","-4.50","0","2048-2110","1/13422","-4.36","15.74","2477"
"58","2023TB2","50 - 110*","2116-09-01 06:11","1/54054","-4.50","0","2110-2119","1/41666","-4.39","13.11","364"
"59","2017SF20","5 - 12*","2034-09-26 12:41","1/3003","-4.52","0","2034","1/3003","-4.52","15.30","2560"
"60","2008CC71","28 - 60*","2066-02-27 12:17","1/37313","-4.54","0","2034-2071","1/23584","-4.19","13.81","5835"
"61","2023SE2","19 - 40*","2049-09-25 23:42","1/86956","-4.55","0","2049-2055","1/57142","-4.38","27.12","381"
"62","2010GM23","29 - 70*","2105-04-15 03:57","1/38610","-4.59","0","2087-2122","1/10460","-4.03","17.48","5292"
"63","2021TT1","15 - 30*","2048-10-09 17:15","1/27247","-4.59","0","2048","1/27247","-4.59","20.45","1096"
"64","2000SB45","27 - 60*","2084-10-08 05:02","1/50251","-4.60","0","2074-2113","1/7936","-3.82","13.49","5835"
"65","2016GU2","40 - 90*","2113-04-01 22:08","1/280898","-4.60","0","2113","1/271739","-4.58","40.73","3104"
"66","2022WW11","12 - 27*","2050-11-29 04:37","1/10460","-4.60","0","2049-2068","1/10309","-4.59","17.46","673"
"67","2017FO63","60 - 120*","2097-11-13 18:29","1/442477","-4.61","0","2097-2108","1/440528","-4.61","31.34","2752"
"68","2012HG2","11 - 24*","2071-02-10 04:07","1/2816","-4.61","0","2052-2122","1/724","-4.02","11.66","4550"
"69","2005ED224","40 - 90*","2030-03-11 04:40","1/5.52E6","-4.61","0","2028-2064","1/1.79E6","-4.53","29.11","5835"
"70","2022WF15","8 - 18*","2033-11-28 14:34","1/10515","-4.62","0","2030-2033","1/10504","-4.62","16.56","659"
"71","2014WA201","12 - 26*","2075-11-16 03:22","1/5405","-4.63","0","2075-2082","1/5347","-4.63","16.09","3603"
"72","2008HJ","18 - 40*","2081-05-02 12:04","1/13297","-4.65","0","2077-2121","1/3891","-4.21","13.48","5835"
"73","2021RB6","7 - 16*","2080-09-09 19:38","1/1273","-4.67","0","2075-2117","1/1175","-4.64","14.50","1119"
"74","2019TU","17 - 40*","2099-01-27 20:48","1/9900","-4.69","0","2094-2122","1/9615","-4.68","14.81","1828"
"75","2017LD","9 - 19*","2066-06-10 07:30","1/2178","-4.69","0","2053-2122","1/427","-4.13","12.05","2680"
"76","2012BA77","19 - 40*","2025-10-10 01:46","1/427350","-4.70","0","2025-2088","1/40485","-4.48","16.76","4634"
"77","1994GK","40 - 80*","2061-04-03 15:30","1/193423","-4.71","0","2044-2073","1/180831","-4.68","18.60","5835"
"78","2021WA1","8 - 18*","2116-11-27 21:44","1/1923","-4.73","0","2116-2120","1/1677","-4.67","17.82","1043"
"79","1995CS","21 - 50*","2042-02-03 14:40","1/214592","-4.73","0","2042-2062","1/193798","-4.71","27.80","5835"
"80","2011XC2","70 - 150*","2056-12-02 09:55","1/1.35E6","-4.74","0","2056","1/1.35E6","-4.74","23.57","4682"
"81","2016RD34","8 - 18*","2051-05-18 21:48","1/2923","-4.74","0","2051-2122","1/1345","-4.45","11.24","2943"
"82","2023XE3","9 - 19*","2080-11-03 05:59","1/2092","-4.74","0","2053-2119","1/1449","-4.49","11.36","303"
"83","2008EZ84","15 - 30*","2073-03-09 23:41","1/12360","-4.76","0","2072-2122","1/5917","-4.45","13.69","5835"
"84","2024RW13","11 - 24*","2093-09-10 22:48","1/10362","-4.77","0","2085-2097","1/7518","-4.63","24.95","23"
"85","2020XF","12 - 27*","2089-11-30 12:04","1/3968","-4.77","0","2056-2121","1/1623","-4.28","11.65","1397"
"86","2019LU1","40 - 90*","2056-06-05 11:10","1/662251","-4.80","0","2056-2070","1/613496","-4.77","33.70","1949"
"87","2008ST7","40 - 90*","2094-09-10 01:43","1/105820","-4.80","0","2074-2105","1/37453","-4.38","15.00","5835"
"88","2009TD17","8 - 17*","2039-05-08 11:35","1/7042","-4.80","0","2039-2122","1/2881","-4.43","12.74","5462"
"89","2010JH110","15 - 30*","2092-06-03 17:16","1/8771","-4.81","0","2071-2120","1/6896","-4.71","13.79","5255"
"90","2013EV27","11 - 25*","2038-02-28 23:43","1/26041","-4.81","0","2038-2063","1/25906","-4.81","16.67","4228"
"91","2021UJ6","6 - 13*","2055-06-06 05:09","1/4166","-4.82","0","2055-2110","1/4000","-4.80","20.78","1069"
"92","2024MH1","22 - 50*","2104-07-23 15:44","1/18975","-4.82","0","2102-2122","1/18796","-4.82","12.71","97"
"93","2019WU2","30 - 80*","2093-11-04 16:01","1/91743","-4.82","0","2086-2109","1/76335","-4.74","16.06","1774"
"94","2000WJ107","40 - 100*","2119-11-20 05:43","1/232558","-4.83","0","2110-2119","1/130890","-4.57","16.97","1795"
"95","2011UM169","25 - 60*","2102-10-24 12:31","1/47393","-4.83","0","2099-2107","1/29498","-4.63","17.89","4725"
"96","2006CM10","120 - 270*","2092-08-12 11:24","1/3.57E6","-4.84","0","2092","1/3.57E6","-4.84","24.98","1845"
"97","2024HJ","170 - 400*","2099-04-24 18:28","1/1.26E7","-4.84","0","2099","1/7.87E6","-4.63","31.51","170"
"98","2019QR3","10 - 23*","2078-08-31 22:35","1/5649","-4.86","0","2078-2087","1/3816","-4.69","15.67","1865"
"99","2014JU15","30 - 70*","2079-04-29 01:25","1/81967","-4.87","0","2075-2121","1/15384","-4.19","15.24","3805"
"100","2024RB3","8 - 18*","2117-09-09 13:29","1/2923","-4.87","0","2082-2122","1/2898","-4.87","17.86","29"
"101","2012EK5","21 - 50*","2095-03-24 11:39","1/36231","-4.88","0","2074-2111","1/26881","-4.73","18.81","4582"
"102","2021EJ3","8 - 17*","2078-03-12 23:40","1/2409","-4.90","0","2078-2123","1/840","-4.55","11.39","1304"
"103","2022VE1","40 - 80*","2099-06-22 06:43","1/189753","-4.91","0","2068-2118","1/88495","-4.56","20.51","697"
"104","2007WP3","50 - 120*","2105-11-12 07:30","1/277008","-4.91","0","2098-2114","1/151515","-4.65","17.17","4237"
"105","2016DK1","9 - 20*","2043-02-18 02:16","1/10330","-4.91","0","2043-2120","1/3030","-4.59","13.13","3141"
"106","2020HB3","25 - 60*","2121-05-04 23:07","1/43478","-4.94","0","2105-2121","1/36231","-4.86","15.98","1627"
"107","2002RB182","60 - 140*","2110-09-27 05:18","1/689655","-4.95","0","2055-2120","1/156985","-4.27","18.62","5835"
"108","2010QG2"," 38 ","2051-09-05 09:15","1/312500","-4.95","0","2051-2064","1/289017","-4.92","17.06","5147"
"109","2018GR4","11 - 23*","2058-03-07 07:09","1/7299","-4.96","0","2058-2120","1/6410","-4.92","11.48","2363"
"110","2020DF3","40 - 90*","2074-02-22 06:51","1/549450","-4.96","0","2065-2074","1/446428","-4.86","29.04","1683"
"111","2011AM37","3 - 7*","2048-01-11 10:06","1/595","-4.96","0","2048-2108","1/246","-4.58","11.76","4917"
