LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
4,1,3,CAP,1,1973-mm-dd,alpha-Capricornids                      , annual ,123.7,138.7,127.7,307.68,-9.92,0.8,0.5,22.8,307.53,179.83,8.75,89.84,261.25,R      ,2.53,0.59,0.77,269,127.66,7,21,0,0,                                        ,                                                                                                                                                      ,    ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
6,1,5,CAP,1,2008-mm-dd,alpha-Capricornids                      ,2002/06 ,116,128,123.5,302.9,-9.9,0.66,0.28,22.2,302.9,179.4,9.86,89.4,260.14,       ,2.35,0.586,0.75,269.2,123.3,7.3,145,0,0,                                        ,Results obtained using wavelet analysis                                                                                                               ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
9,1,8,CAP,1,23/08/2015,alpha-Capricornids                      ,2010/13 ,101,138,127,306.5,-9.2,0.97,0.24,23,306.57,179.57,9.73,89.57,260.27,  M   1,2.54,0.578,0.774,268.9,125.4,7.5,646,0,0,169P/NEAT                               ,                                                                                                                                                      ,T   ,LookUp table file name,"9] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
10,1,10,CAP,1,16/11/2022,alpha-Capricornids                      , annual ,       ,       ,115.2,300,-11.9,0.63,0.24,25,299.65,184.45,8.5,94.4,261.47,       ,2.4,0.496,0.793,279.1,115.2,7.6,142,0,0,                                        ,mean of solar longitude=105-120 degree                                                                                                                ,T   ,001_CAP1.csv          ,"11) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
11,1,11,CAP,1,16/11/2022,alpha-Capricornids                      , annual ,120.159,126.974,124.1,304.3,-9.9,0.49,0.25,23.2,304.26,180.16,9.55,90.16,260.45,       ,2.586,0.569,0.78,270.2,124.1,7.5,280,0,0,                                        ,mean of solar longitude=120-127 degree                                                                                                                ,T   ,001_CAP2.csv          ,"12) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
12,1,12,CAP,1,16/11/2022,alpha-Capricornids                      , annual ,127.012,138.909,130.4,307.7,-8.3,0.54,0.28,21.9,307.96,177.56,10.31,87.6,259.68,       ,2.584,0.613,0.763,265.2,130.4,7.4,466,0,0,                                        ,mean of solar longitude=127-138 degree                                                                                                                ,T   ,001_CAP3.csv          ,"13) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
13,2,0,STA,1,2002-mm-dd,Southern Taurids                        , annual ,       ,       ,217.3,48.7,13,0.73,0.18,28,49.8,192.5,-4.86,102.46,274.98,       ,2.07,0.352,0.825,115.4,37.3,5.4,97,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2002ESASP.500..177P' target=_blank>Porubcan & Kornos, 2002</A>"
16,2,3,STA,1,2008-mm-dd,Southern Taurids                        ,2002/06 ,172,218,196.5,31,8,0.82,0.29,27.92,31.65,195.15,-4.31,105.11,274.47,       ,1.67,0.31,0.8144,122.5,16,3,2684,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
18,2,5,STA,1,2010-mm-dd,Southern Taurids                        ,2002/08 ,173,217,196,30.9,8.1,0.817,0.291,28.2,31.59,195.59,-4.18,105.55,274.34,       ,1.72,0.3084,0.82,122.26,16,5.3,2497,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
19,2,6,STA,1,23/08/2015,Southern Taurids                        ,2010/13 ,180,272,216,47.9,12.8,0.99,0.26,26.6,49,193,-4.85,102.95,274.98,  M   1,1.95,0.353,0.798,116.6,34.4,5.3,916,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
20,2,8,STA,1,16/11/2022,Southern Taurids                        ,periodic,210.052,239.923,224.5,54.9,14.6,0.55,0.05,28,56.06,191.56,-4.8,101.51,274.9,       ,2.122,0.367,0.827,113.1,44.5,5.4,1027,247,0,                                        ,                                                                                                                                                      ,T   ,002_STA0.csv          ,"9) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
21,2,9,STA,1,16/11/2022,Southern Taurids                        , annual ,187.363,212.976,202.4,36.8,9.7,0.8,0.25,28.6,37.64,195.24,-4.6,105.19,274.77,       ,1.813,0.311,0.828,121.3,22.4,5.7,1050,247,0,                                        ,mean of solar longitude=187-213 degree                                                                                                                ,T   ,002_STA1.csv          ,"10) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
22,2,10,STA,1,16/11/2022,Southern Taurids                        , annual ,213.062,230.979,221.6,51.8,13.7,0.7,0.13,27.4,52.91,191.31,-4.96,101.27,275.05,       ,2.034,0.374,0.816,112.7,41.6,5.4,1212,247,0,                                        ,mean of solar longitude=213-231 degree                                                                                                                ,T   ,002_STA2.csv          ,"11) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
23,2,11,STA,1,16/11/2022,Southern Taurids                        , annual ,231.001,257.963,242.1,65.3,14.9,0.69,0.01,23.4,66.02,183.92,-6.51,93.89,276.52,       ,2.105,0.515,0.756,96.4,62.1,5.2,958,247,0,                                        ,mean of solar longitude=231-258 degree                                                                                                                ,T   ,002_STA3.csv          ,"12) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
24,2,12,STA,1,16/11/2022,Southern Taurids                        , annual ,258.129,279.23,265.1,82.9,14.9,0.96,0,20.6,83.07,177.97,-8.37,87.99,278.37,       ,2.14,0.617,0.711,84,85.1,5.4,211,247,0,                                        ,mean of solar longitude=231-258 degree                                                                                                                ,T   ,002_STA4.csv          ,"13) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
25,3,0,SIA,0,1973-mm-dd,Southern iota-Aquariids                 , annual ,112.7,151.7,131.7,333.97,-14.58,0.98,0.31,33.8,330.61,198.92,-3.55,108.88,273.75,R      ,2.36,0.208,0.912,131.8,311.74,6.9,12,298,3,                                        ,Member of 298/IAQ Complex                                                                                                                             ,    ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
27,3,2,SIA,0,2008-mm-dd,Southern iota-Aquariids                 ,2002/06 ,128,133,129.5,332.9,-14.7,0.36,-0.14,30.5,329.6,200.1,-3.3,110.06,273.51,       ,1.546,0.218,0.8587,134.3,309.1,5.3,353,298,3,                                        ,"Member of 298/IAQ Complex. Removed from the List of Established Showers (2015) Jenniskens et al. Trans. IAU, vol 10, issue T28 pp 120-123             ",R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
31,4,3,GEM,1,2008-mm-dd,Geminids                                ,2002/06 ,244,267,261.5,112.8,32.1,1.1,-0.17,35,109.48,207.98,10.19,117.5,258.49,       ,1.416,0.136,0.904,324.6,261.3,24,4384,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
33,4,5,GEM,1,2010-mm-dd,Geminids                                ,2002/08 ,240,273,261,112.5,32.1,1.12,-0.17,34.5,109.23,208.23,10.15,117.75,258.51,       ,1.35,0.1373,0.898,324.95,261,23.2,10381,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
34,4,6,GEM,1,23/08/2015,Geminids                                ,2010/13 ,243,262,262,113.5,32.3,1.15,-0.16,33.8,110.05,208.05,10.48,117.54,258.16,  M   1,1.31,0.145,0.889,324.3,261.7,22.9,5103,0,0,(3200) Phaethon                         ,the Phaeton Complex                                                                                                                                   ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
37,5,2,SDA,1,1970-mm-dd,Southern delta-Aquariids                , annual ,       ,       ,126.7,339.57,-16.27,0.67,0.29,41.01,335.03,208.33,-7.11,118.1,278.06,R      ,2.8,0.079,0.972,150.59,306.71,25.5,28,297,3,                                        ,Member of 297/DAQ Complex                                                                                                                             ,P   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak & Porubcan, 1970</A>"
38,5,3,SDA,1,1973-mm-dd,Southern delta-Aquariids                , annual ,118.7,155.7,125.7,333.78,-16.38,0.72,0.28,41.4,329.79,204.09,-5.17,113.99,275.66,R      ,2.86,0.069,0.976,152.79,305.71,27.2,13,297,3,                                        ,Member of 297/ DAQ                                                                                                                                    ,    ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
